PG,SG,SF,PF,C,G,F,UTIL
42553331,42553324,42553437,42553267,42553391,42553350,42553423,42553195
42553331,42553324,42553437,42553200,42553195,42553275,42553423,42553862
42553331,42553462,42553437,42553255,42553391,42553275,42553423,42553195
42553287,42553275,42553267,42553189,42553391,42553331,42553423,42553862
42553331,42553213,42553437,42553175,42553391,42553275,42553423,42553862
42553331,42553324,42553267,42553200,42553391,42553213,42553423,42553862
42553287,42553578,42553437,42553200,42553391,42553331,42553423,42553195
42553402,42553331,42553437,42553200,42553391,42553275,42553267,42553423
42553287,42553228,42553324,42553437,42553391,42553275,42553423,42553331
42553287,42553228,42553437,42553267,42553195,42553331,42553423,42553862
42553331,42553324,42553437,42553200,42553391,42553178,42553630,42553423
42553228,42553331,42553437,42553200,42553391,42553197,42553423,42553862
42553287,42553331,42553324,42553423,42553391,42553178,42553255,42553862
42553197,42553324,42553347,42553437,42553391,42553331,42553423,42553255
42553287,42553213,42553347,42553437,42553391,42553331,42553267,42553423
42553197,42553331,42553437,42553189,42553391,42553275,42553423,42553823
42553331,42553324,42553630,42553189,42553391,42553275,42553423,42553255
42553331,42553324,42553545,42553295,42553391,42553275,42553423,42553195
42553331,42553578,42553437,42553267,42553391,42553178,42553255,42553423
42553331,42553324,42553437,42553295,42553391,42553462,42553423,42553175
42553197,42553350,42553437,42553423,42553195,42553331,42553255,42553862
42553331,42553324,42553437,42553423,42553255,42553275,42553175,42553823
42553197,42553682,42553178,42553189,42553862,42553755,42553175,42553871
42553331,42553178,42553437,42553189,42553862,42553197,42553423,42553871
42553197,42553282,42553630,42553175,42553823,42553178,42553423,42553862
42553331,42553178,42553630,42553189,42553862,42553682,42553423,42553175
42553197,42553553,42553347,42553189,42553862,42553324,42553178,42553823
42553197,42553213,42553630,42553189,42553195,42553682,42553423,42553862
42553228,42553275,42553347,42553189,42553195,42553682,42553423,42553862
42553331,42553657,42553347,42553175,42553862,42553197,42553178,42553871
42553197,42553275,42553630,42553200,42553862,42553331,42553175,42553871
42553287,42553657,42553178,42553175,42553862,42553197,42553423,42553682
42553553,42553178,42553545,42553488,42553391,42553197,42553823,42553175
42553197,42553213,42553437,42553200,42553862,42553682,42553175,42553871
42553197,42553282,42553246,42553189,42553862,42553331,42553423,42553630
42553197,42553755,42553178,42553423,42553543,42553331,42553175,42553862
42553197,42553178,42553630,42553189,42553525,42553657,42553423,42553331
42553682,42553331,42553347,42553200,42553862,42553197,42553189,42553423
42553682,42553275,42553545,42553175,42553195,42553197,42553423,42553862
42553197,42553178,42553611,42553488,42553391,42553657,42553189,42553423
42553197,42553578,42553437,42553175,42553391,42553213,42553423,42553630
42553755,42553213,42553545,42553189,42553195,42553657,42553175,42553862
42553553,42553682,42553657,42553200,42553195,42553178,42553189,42553862
42553197,42553228,42553225,42553449,42553862,42553657,42553189,42553423
42553197,42553331,42553545,42553189,42553195,42553275,42553871,42553862
42553553,42553213,42553275,42553189,42553391,42553228,42553423,42553862
42553197,42553682,42553437,42553175,42553823,42553275,42553225,42553423
42553197,42553324,42553225,42553175,42553862,42553331,42553423,42553871
42553287,42553331,42553267,42553200,42553391,42553682,42553255,42553423
42553331,42553282,42553267,42553423,42553391,42553197,42553255,42553862
42553331,42553178,42553437,42553423,42553391,42553306,42553823,42553195
42553331,42553324,42553267,42553200,42553195,42553462,42553423,42553823
42553395,42553331,42553630,42553200,42553391,42553275,42553423,42553195
42553331,42553282,42553437,42553189,42553391,42553682,42553423,42553195
42553331,42553282,42553437,42553267,42553862,42553324,42553423,42553175
42553228,42553324,42553437,42553189,42553255,42553331,42553423,42553862
42553287,42553324,42553437,42553488,42553255,42553331,42553200,42553423
42553287,42553350,42553545,42553423,42553391,42553331,42553255,42553195
42553197,42553287,42553347,42553823,42553391,42553331,42553423,42553195
42553331,42553275,42553267,42553423,42553195,42553178,42553871,42553862
42553331,42553324,42553545,42553437,42553391,42553213,42553189,42553423
42553287,42553275,42553437,42553823,42553195,42553331,42553225,42553423
42553228,42553324,42553267,42553488,42553391,42553331,42553423,42553255
42553287,42553350,42553275,42553200,42553391,42553331,42553449,42553423
42553197,42553331,42553437,42553267,42553862,42553275,42553225,42553423
42553287,42553331,42553347,42553200,42553862,42553275,42553423,42553255
42553287,42553331,42553437,42553295,42553391,42553197,42553423,42553350
42553402,42553287,42553267,42553449,42553391,42553331,42553423,42553195
42553395,42553462,42553437,42553200,42553391,42553331,42553189,42553423
42553331,42553282,42553437,42553423,42553391,42553213,42553350,42553255
42553287,42553282,42553225,42553200,42553391,42553331,42553423,42553862
42553287,42553282,42553545,42553437,42553391,42553331,42553175,42553423
42553553,42553324,42553267,42553423,42553391,42553197,42553275,42553331
42553331,42553178,42553347,42553200,42553391,42553350,42553423,42553862
42553287,42553324,42553630,42553423,42553195,42553331,42553175,42553862
42553287,42553178,42553437,42553295,42553862,42553331,42553423,42553275
42553287,42553275,42553347,42553175,42553391,42553331,42553423,42553630
42553287,42553462,42553178,42553200,42553391,42553331,42553823,42553423
42553331,42553657,42553267,42553175,42553391,42553178,42553423,42553862
